type, no_of_threads, member_operations, insert_operations, delete_operations, time_interval
type, no_of_threads, member_operations, insert_operations, delete_operations, time_interval
RWLOCK, 8, 9900, 50, 50, 11305
RWLOCK, 8, 9900, 50, 50, 8881
RWLOCK, 8, 9900, 50, 50, 9720
RWLOCK, 8, 9900, 50, 50, 8122
type, no_of_threads, member_operations, insert_operations, delete_operations, time_interval
RWLOCK, 8, 9000, 500, 500, 209222
RWLOCK, 8, 9000, 500, 500, 31469
RWLOCK, 8, 9000, 500, 500, 97049
RWLOCK, 8, 9000, 500, 500, 22417
RWLOCK, 8, 9000, 500, 500, 22346
RWLOCK, 8, 9000, 500, 500, 21414
RWLOCK, 8, 9000, 500, 500, 18037
RWLOCK, 8, 9000, 500, 500, 18641
RWLOCK, 8, 9000, 500, 500, 17966
RWLOCK, 8, 9000, 500, 500, 19082
RWLOCK, 8, 9000, 500, 500, 24479
RWLOCK, 8, 9000, 500, 500, 19210
RWLOCK, 8, 9000, 500, 500, 17992
RWLOCK, 8, 9000, 500, 500, 18699
RWLOCK, 8, 9000, 500, 500, 18173
RWLOCK, 8, 9000, 500, 500, 16840
RWLOCK, 8, 9000, 500, 500, 35810
RWLOCK, 8, 9000, 500, 500, 36486
RWLOCK, 8, 9000, 500, 500, 36531
RWLOCK, 8, 9000, 500, 500, 32009
RWLOCK, 8, 9000, 500, 500, 24296
RWLOCK, 8, 9000, 500, 500, 24165
RWLOCK, 8, 9000, 500, 500, 25211
RWLOCK, 8, 9000, 500, 500, 25563
RWLOCK, 8, 9000, 500, 500, 24368
RWLOCK, 8, 9000, 500, 500, 21604
RWLOCK, 8, 9000, 500, 500, 22828
RWLOCK, 8, 9000, 500, 500, 23796
RWLOCK, 8, 9000, 500, 500, 24878
RWLOCK, 8, 9000, 500, 500, 22987
RWLOCK, 8, 9000, 500, 500, 23936
RWLOCK, 8, 9000, 500, 500, 18830
RWLOCK, 8, 9000, 500, 500, 17480
RWLOCK, 8, 9000, 500, 500, 17363
RWLOCK, 8, 9000, 500, 500, 19655
RWLOCK, 8, 9000, 500, 500, 36030
RWLOCK, 8, 9000, 500, 500, 32348
RWLOCK, 8, 9000, 500, 500, 25482
RWLOCK, 8, 9000, 500, 500, 19862
RWLOCK, 8, 9000, 500, 500, 21428
RWLOCK, 8, 9000, 500, 500, 36719
RWLOCK, 8, 9000, 500, 500, 35451
RWLOCK, 8, 9000, 500, 500, 38270
RWLOCK, 8, 9000, 500, 500, 27212
